"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-17,875,895,855,890,20,2.3,1373637,7.48,-134473,0,-76890,0,0.84,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-16,885,910,865,870,-10,-1.14,1783826,7.39,51204,0,-102408,0,0.92,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-15,880,890,870,880,5,0.57,819462,7.79,4932,0,-9864,0,1.06,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-14,920,920,875,875,-30,-3.31,1957511,7.76,65550,0,-125100,0,1.07,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-11,890,940,890,905,20,2.26,3273191,7.97,96235,0,-202470,0,1.21,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-10,885,915,860,885,5,0.57,2135291,6.74,-57681,0,115776,0,1.43,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-09,950,950,875,880,-55,-5.88,2999485,6.61,-127977,0,255954,0,1.3,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-08,985,995,930,935,-60,-6.03,5115831,6.56,68918,0,-137836,0,1.02,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-07,995,1020,985,995,15,1.53,2675485,7.05,-43524,0,47282,0,1.17,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-04,1015,1020,950,980,-10,-1.01,4337693,6.14,-333915,0,667174,0,1.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-03,1070,1130,990,990,-65,-6.16,12449661,6.41,-150161,0,282968,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-02,1090,1140,1040,1055,-35,-3.21,13093624,6.83,208474,0,-461372,0,0.06,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-09-01,965,1090,945,1090,140,14.74,11060636,6.11,-28026,0,5148,0,0.58,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-31,1070,1125,930,950,-35,-3.55,19456104,5.98,13441,0,-33322,0,0.57,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-28,875,985,870,985,125,14.53,9026765,5.88,-226907,0,523814,0,0.61,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-27,845,890,845,860,5,0.58,2080657,5.96,16604,0,-33208,0,0.03,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-26,835,870,830,855,25,3.01,1409614,6.7,-17646,0,55292,0,0.06,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-25,895,895,825,830,-65,-7.26,3115376,5.44,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-24,930,935,890,895,0,0.0,4017814,6.21,124083,0,-248166,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-21,890,945,880,895,0,0.0,4232491,5.56,-49666,0,79332,0,0.28,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-20,860,975,860,895,45,5.29,15435329,5.84,-54055,0,168310,0,0.19,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-19,845,850,830,850,15,1.8,1032461,6.05,-262,0,524,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-18,875,875,830,835,-35,-4.02,1378302,6.03,43299,0,-126598,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-17,895,915,865,870,-5,-0.57,2256411,5.97,122109,0,-244218,0,0.14,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-08-14,865,900,845,875,15,1.74,2940528,6.23,-13745,0,27490,0,0.41,0,0
